#=====================================================
# File created:        Sat-09-Mar-2024-at-07-49-22PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.756172
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2523.2312  0.2639 
   00001    0.6664   -3676.9305  0.2739 
   00002    0.6480   -4485.2512  0.2777 
   00003    0.5776   -5069.3126  0.2907 
   00004    0.5472   -5527.6110  0.2849 
   00005    0.5528   -5836.5777  0.2886 
   00006    0.5008   -6138.1868  0.2903 
   00007    0.5208   -6388.4810  0.3018 
   00008    0.5196   -6531.8396  0.2987 
   00009    0.4992   -6690.4280  0.3086 
   00010    0.5048   -6815.0743  0.3018 
   00011    0.4768   -6910.4900  0.2987 
   00012    0.4788   -7058.4902  0.2932 
   00013    0.4704   -7132.8835  0.2968 
   00014    0.4664   -7212.1625  0.3015 
   00015    0.4696   -7230.2454  0.3012 
   00016    0.4728   -7268.7742  0.3057 
   00017    0.4760   -7356.7836  0.3039 
   00018    0.4500   -7401.2766  0.3146 
   00019    0.4532   -7423.3718  0.3169 
   00020    0.4592   -7458.0644  0.3242 
   00021    0.4496   -7539.4603  0.3231 
   00022    0.4464   -7595.8516  0.3229 
   00023    0.4440   -7649.8597  0.3302 
   00024    0.4292   -7690.7501  0.3260 
   00025    0.4444   -7724.6831  0.3265 
   00026    0.4492   -7684.8146  0.3353 
   00027    0.4520   -7720.1647  0.3350 
   00028    0.4368   -7753.7428  0.3441 
   00029    0.4532   -7778.0102  0.3443 
   00030    0.4352   -7807.4107  0.3410 
   00031    0.4348   -7847.2209  0.3458 
   00032    0.4532   -7830.1296  0.3380 
   00033    0.4352   -7873.4650  0.3373 
   00034    0.4444   -7900.8054  0.3381 
   00035    0.4436   -7916.3254  0.3380 
   00036    0.4396   -7946.3300  0.3340 
   00037    0.4436   -7937.0435  0.3365 
   00038    0.4372   -7970.0597  0.3423 
   00039    0.4240   -8026.4312  0.3439 
   00040    0.4320   -8045.9526  0.3503 
   00041    0.4164   -8039.2815  0.3508 
   00042    0.4360   -8036.9421  0.3532 
   00043    0.4312   -8027.4192  0.3513 
   00044    0.4216   -8068.4788  0.3526 
   00045    0.4164   -8055.6089  0.3535 
   00046    0.4196   -8017.1722  0.3592 
   00047    0.4208   -8003.8005  0.3592 
   00048    0.4256   -7969.8372  0.3539 
   00049    0.4328   -8040.4674  0.3506 
   00050    0.4336   -8069.1121  0.3572 
