#=====================================================
# File created:        Sat-09-Mar-2024-at-10-51-06AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.748381
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2561.9499  0.2644 
   00001    0.6716   -3686.6618  0.2544 
   00002    0.6220   -4470.8657  0.2571 
   00003    0.6016   -5005.1447  0.2527 
   00004    0.5480   -5461.5381  0.2595 
   00005    0.5304   -5779.3982  0.2562 
   00006    0.5176   -6012.5963  0.2635 
   00007    0.5228   -6241.6879  0.2670 
   00008    0.4980   -6462.8204  0.2706 
   00009    0.5076   -6651.5103  0.2695 
   00010    0.4840   -6882.3990  0.2765 
   00011    0.4740   -7001.2948  0.2751 
   00012    0.4716   -7163.2174  0.2866 
   00013    0.4700   -7216.3219  0.2916 
   00014    0.4704   -7259.2776  0.3020 
   00015    0.4552   -7294.4606  0.3078 
   00016    0.4612   -7339.1860  0.3035 
   00017    0.4556   -7404.9703  0.3028 
   00018    0.4384   -7449.1121  0.3034 
   00019    0.4480   -7530.5353  0.3136 
   00020    0.4572   -7617.6474  0.3083 
   00021    0.4404   -7656.8176  0.3120 
   00022    0.4392   -7700.4427  0.3248 
   00023    0.4496   -7731.6592  0.3284 
   00024    0.4564   -7777.6280  0.3345 
   00025    0.4492   -7781.8982  0.3346 
   00026    0.4284   -7786.4639  0.3355 
   00027    0.4408   -7843.5773  0.3358 
   00028    0.4352   -7883.9502  0.3477 
   00029    0.4452   -7906.3476  0.3522 
   00030    0.4248   -7922.5425  0.3518 
   00031    0.4568   -7989.8168  0.3493 
   00032    0.4144   -7991.2114  0.3542 
   00033    0.4308   -7971.7810  0.3572 
   00034    0.4304   -7987.2210  0.3625 
   00035    0.4476   -8053.2117  0.3611 
   00036    0.4116   -8037.5985  0.3695 
   00037    0.4256   -8015.2607  0.3694 
   00038    0.4232   -7971.7145  0.3672 
   00039    0.4356   -7996.9387  0.3734 
   00040    0.4440   -8026.4020  0.3734 
   00041    0.4248   -8066.1675  0.3733 
   00042    0.4188   -8080.0600  0.3748 
   00043    0.4232   -8074.5919  0.3829 
   00044    0.4328   -8083.7834  0.3889 
   00045    0.4444   -8039.8374  0.3893 
   00046    0.4184   -8040.8510  0.3918 
   00047    0.4308   -8074.1276  0.3911 
   00048    0.4360   -8103.2355  0.3890 
   00049    0.4356   -8126.3264  0.3890 
   00050    0.4340   -8126.2719  0.3930 
